State,Action,Value
"((0, 0, 0), (0, 1, 0), (0, 0, 0))","(0, 2)",0.35858018849344225
"((1, 0, 1), (-1, -1, 1), (-1, 1, -1))","(0, 1)",0.9948462247926799
"((1, 0, 0), (-1, -1, 1), (-1, 1, 0))","(0, 2)",0.31483263837604314
"((0, 0, 0), (-1, -1, 1), (0, 1, 0))","(0, 0)",0.14420743797690067
"((0, 0, 0), (0, -1, 1), (0, 0, 0))","(2, 1)",0.36349924726693905
"((1, 0, 1), (-1, -1, 1), (-1, 1, 0))","(2, 2)",-0.6125795110000001
"((1, 0, 0), (-1, -1, 1), (0, 1, 0))","(2, 0)",-0.018257845273290017
"((0, 0, 0), (0, -1, 1), (0, 1, 0))","(1, 0)",0.11334194369251781
"((1, 1, 0), (0, -1, 1), (-1, 0, -1))","(1, 0)",-0.6513215599000001
"((1, 1, 0), (0, -1, 0), (-1, 0, 0))","(1, 2)",-0.27292836578977936
"((1, 0, 0), (0, 0, 0), (-1, 0, 0))","(0, 1)",0.4016139816859406
"((1, 1, 0), (1, -1, 1), (-1, 0, -1))","(2, 1)",0.8649148282327008
"((1, 1, 0), (0, -1, 1), (-1, 0, 0))","(2, 2)",-0.07879416673916478
"((1, 1, 0), (0, 0, 0), (-1, 0, 0))","(1, 1)",-0.05433083643770677
"((-1, 1, -1), (-1, 1, -1), (1, 0, 1))","(2, 1)",0.9996300115149649
"((-1, 1, -1), (0, 1, -1), (0, 0, 1))","(2, 0)",0.16320291359985528
"((0, 1, -1), (0, 0, -1), (0, 0, 1))","(1, 1)",0.020111006267595002
"((0, 1, -1), (0, 0, 0), (0, 0, 0))","(2, 2)",0.24874999115209118
"((-1, 1, -1), (0, 1, -1), (1, 0, 1))","(1, 0)",-0.6513215599000001
"((0, 1, -1), (0, 1, -1), (0, 0, 1))","(0, 0)",-0.271
"((0, 1, -1), (0, 0, 0), (0, 0, 1))","(1, 2)",0.030391624407271486
"((0, 0, 0), (0, 1, 1), (0, -1, -1))","(1, 0)",0.999823035654572
"((0, 0, 0), (0, 1, 0), (0, -1, 0))","(1, 2)",0.3948611307641166
"((0, 0, 0), (0, 1, 1), (0, -1, 0))","(2, 2)",-0.20071278365598755
"((0, 0, 0), (0, 1, 0), (0, 0, 0))","(2, 1)",-0.44317749137563034
"((-1, 0, 1), (-1, 0, 0), (1, 0, 0))","(1, 1)",0.9999999999999996
"((0, 0, 1), (-1, 0, 0), (0, 0, 0))","(2, 0)",0.6121738201787257
"((0, 0, 1), (-1, 0, 0), (1, 0, 0))","(0, 0)",-0.6122609378360939
"((0, 0, 1), (0, 0, 0), (0, 0, 0))","(1, 0)",-0.06876210676329587
"((-1, 1, 1), (-1, -1, 0), (1, 0, 0))","(2, 1)",-0.7458134171671
"((-1, 1, 1), (-1, 0, 0), (0, 0, 0))","(2, 0)",-0.00917055094905423
"((-1, 0, 1), (0, 0, 0), (0, 0, 0))","(0, 1)",0.34537866704348125
"((-1, 1, 1), (-1, -1, 0), (1, 1, 0))","(1, 2)",0.40951000000000004
"((-1, 1, 1), (-1, 0, 0), (1, 0, 0))","(1, 1)",0.5309989450230727
"((-1, 1, 1), (0, 0, 0), (0, 0, 0))","(1, 0)",0.31125912408464573
"((0, 0, 1), (0, 0, 0), (0, 0, 0))","(0, 0)",-0.36016021581133584
"((-1, 0, -1), (0, 1, -1), (1, 1, 0))","(1, 0)",-0.40951000000000004
"((-1, 0, -1), (0, 1, 0), (0, 1, 0))","(2, 0)",-0.19
"((-1, 0, 0), (0, 1, 0), (0, 0, 0))","(2, 1)",0.35869105363815956
"((-1, 0, -1), (1, 1, -1), (1, 1, 0))","(2, 2)",0.8332281830033343
"((-1, 0, -1), (0, 1, 0), (1, 1, 0))","(1, 2)",-0.669368807281136
"((-1, 0, 0), (0, 1, 0), (0, 1, 0))","(0, 2)",-0.4825664213262133
"((0, 0, 0), (0, 1, 0), (0, 0, 0))","(0, 0)",0.36046859845431367
"((0, -1, 1), (1, 0, 0), (0, -1, 0))","(1, 2)",-0.1531441
"((0, -1, 1), (0, 0, 0), (0, 0, 0))","(1, 0)",0.17249647472636706
